"Géographie";"Niveau Géo";"Mesure démographie entreprises et établissements";"Activité économique";"Forme légale";"Fréquence";Période;Valeur
"Ballainvilliers";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Société à responsabilité limitée (SARL)";"Annuel";2012;4
"Chilly-Mazarin";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Société par actions simplifiée";"Annuel";2012;2
"Chilly-Mazarin";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Société à responsabilité limitée (SARL)";"Annuel";2012;2
"Chilly-Mazarin";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Société à responsabilité limitée (SARL)";"Annuel";2012;8
"Épinay-sur-Orge";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Société par actions simplifiée";"Annuel";2012;2
"Ballainvilliers";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Entrepreneur individuel";"Annuel";2012;2
"Chilly-Mazarin";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Entrepreneur individuel";"Annuel";2012;1
"Champlan";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Société par actions simplifiée";"Annuel";2012;2
"Épinay-sur-Orge";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Entrepreneur individuel";"Annuel";2012;2
"Champlan";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Entrepreneur individuel";"Annuel";2012;1
"Ballainvilliers";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Entrepreneur individuel";"Annuel";2012;1
"Chilly-Mazarin";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Société par actions simplifiée";"Annuel";2012;5
"Ballainvilliers";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Entrepreneur individuel";"Annuel";2012;2
"Champlan";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Société à responsabilité limitée (SARL)";"Annuel";2012;4
