"Géographie";"Niveau Géo";"Tranche d'âge du référent fiscal";"Mesures filosofi";"Unité de mesure";"Quantité d'unités (en puissance de 10)";"Statut de confidentialité";"Statut de l'observation";Période;Valeur
"Linas";"Commune";"75 ans ou plus";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Linas";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Longjumeau";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;18
"Wissous";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;6
"Villiers-le-Bâcle";"Commune";"De 50 à 59 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Longjumeau";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;24510
"Bures-sur-Yvette";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;35830
"Ballainvilliers";"Commune";"De 50 à 59 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Orsay";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;34110
"Villiers-le-Bâcle";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Chilly-Mazarin";"Commune";"De 30 à 39 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;21800
"Ballainvilliers";"Commune";"De 40 à 49 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;28250
"Marcoussis";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;32330
"Saint-Aubin";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;39060
"Saclay";"Commune";"De 30 à 39 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;31880
"Les Ulis";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;22
"Wissous";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;31530
"Wissous";"Commune";"Moins de 30 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;24620
"Champlan";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;14
"Champlan";"Commune";"De 40 à 49 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;24430
"Gometz-le-Châtel";"Commune";"De 40 à 49 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;29300
"Nozay";"Commune";"De 30 à 39 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;27600
"Marcoussis";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;7
"Linas";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;10
"Les Ulis";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;19950
"Champlan";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Linas";"Commune";"De 30 à 39 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;24780
"Bures-sur-Yvette";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Montlhéry";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;28820
"Vauhallan";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villejust";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;29140
"Vauhallan";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Champlan";"Commune";"Moins de 30 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Les Ulis";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;22170
"Igny";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;34920
"Massy";"Commune";"Moins de 30 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;19
"Wissous";"Commune";"De 30 à 39 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;27330
"Saclay";"Commune";"De 50 à 59 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Verrières-le-Buisson";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;7
