"Géographie";"Niveau Géo";"Tranche d'âge du référent fiscal";"Mesures filosofi";"Unité de mesure";"Quantité d'unités (en puissance de 10)";"Statut de confidentialité";"Statut de l'observation";Période;Valeur
"Wissous";"Commune";"De 40 à 49 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villebon-sur-Yvette";"Commune";"De 30 à 39 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;26970
"Les Ulis";"Commune";"De 40 à 49 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;26
"Massy";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;24450
"Saint-Aubin";"Commune";"75 ans ou plus";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Saulx-les-Chartreux";"Commune";"De 50 à 59 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Massy";"Commune";"De 50 à 59 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;17
"La Ville-du-Bois";"Commune";"De 40 à 49 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;10
"Nozay";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;34150
"Gif-sur-Yvette";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;37240
"Marcoussis";"Commune";"75 ans ou plus";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"La Ville-du-Bois";"Commune";"75 ans ou plus";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Les Ulis";"Commune";"De 50 à 59 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;22
"Villejust";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Épinay-sur-Orge";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Gometz-le-Châtel";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Gif-sur-Yvette";"Commune";"De 40 à 49 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;5
"Gometz-le-Châtel";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;32740
"Nozay";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;30540
"Gometz-le-Châtel";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;8
"Verrières-le-Buisson";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;35720
"Bures-sur-Yvette";"Commune";"De 40 à 49 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;34190
"Montlhéry";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Bures-sur-Yvette";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;38520
"Saclay";"Commune";"Moins de 30 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villebon-sur-Yvette";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Saclay";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;34070
"Palaiseau";"Commune";"Moins de 30 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;18
"Palaiseau";"Commune";"De 30 à 39 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;26440
"Longjumeau";"Commune";"De 50 à 59 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;15
"Verrières-le-Buisson";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;36270
"Linas";"Commune";"Moins de 30 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;22850
"Linas";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;27750
"Saint-Aubin";"Commune";"De 30 à 39 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villejust";"Commune";"Moins de 30 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Igny";"Commune";"Moins de 30 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Orsay";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Champlan";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;25020
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Moins de 30 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;22650
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;8
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;29870
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 40 à 49 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;26690
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;13,2
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"75 ans ou plus";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;6,1
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;11,3
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;27650
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;30390
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Moins de 30 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;18,3
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 30 à 39 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;25510
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;29570
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 50 à 59 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;10,1
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 40 à 49 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;13,2
