"Géographie";"Niveau Géo";"Fréquence";"Mesure du recensement ";"Catégorie de logement";"Lien à la personne de référence du ménage ";"Type de ménage et nombre d'enfants";"Profession et catégorie socioprofessionnelle (PCS)";Période;Valeur
"Saint-Aubin";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2016;89,615932
"Chilly-Mazarin";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2016;4122,143584
"Saclay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;3574,186513
"Gif-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;2718,284862
"Linas";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;999,845548
"Épinay-sur-Orge";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;49,364123
"Épinay-sur-Orge";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;730,83005
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;2070
"Les Ulis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;3170,923828
"Gif-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;5806,527635
"Gometz-le-Châtel";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;763,631512
"Bures-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;572,845841
"Ballainvilliers";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;360
"Bures-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;1137,898448
"Bures-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;2606,463332
"Bures-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;1035,234597
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;4073,642664
"Saclay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;305,233559
"Saulx-les-Chartreux";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;256,839414
"Champlan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;20,271591
"Saulx-les-Chartreux";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;550,370172
"Verrières-le-Buisson";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;2122,963385
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;800,723854
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;1468,347107
"Gometz-le-Châtel";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;1004,999998
"Marcoussis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;2300
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;2755
"Chilly-Mazarin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;1883,983955
"Chilly-Mazarin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;1083,280478
"Marcoussis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;1135
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;162,123625
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;555,269846
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;4004,18661
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;645
"Orsay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;6951,554868
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;738,707206
"Saulx-les-Chartreux";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;10,384709
"Igny";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;2783,273958
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;8077,829274
"Épinay-sur-Orge";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;1402,489293
"Les Ulis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;1527,182988
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;6007,294099
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;54,535431
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;368,445797
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;129,975358
"Saulx-les-Chartreux";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;293,530758
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;24,893314
"Gometz-le-Châtel";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;231,320548
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;74,679943
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;34,195531
"Igny";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;362,691076
"Villiers-le-Bâcle";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;70
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;763,349581
"Orsay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;507,611188
"Gif-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;64,051819
"Villiers-le-Bâcle";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;110
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;369,583966
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;8672,567002
"Verrières-le-Buisson";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;115,689889
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;44,949401
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;2077,304157
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;349,06906
"Igny";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;78,31504
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;889,21572
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;410,997993
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;897,896895
"Gometz-le-Châtel";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;281,465431
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;1105
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;245,620814
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;4500,319658
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;330
"Verrières-le-Buisson";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;1024,242924
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;221,058733
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;40
"Saclay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;216,617364
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;620,859125
"Ballainvilliers";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;145
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;8743,558853
"Gometz-le-Châtel";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;125,717689
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;4103,849156
"Linas";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;182,813722
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;5600,537778
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;24,996392
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;879,010513
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;3184,139483
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;3143,915044
"Chilly-Mazarin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;2565,869229
"Bures-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;305,965822
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;1455,570214
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;2253,713934
"Igny";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;4004,673356
"Igny";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;1143,084359
"Épinay-sur-Orge";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;3046,270811
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;147,372488
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;655,627894
"Orsay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;2570,797534
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;856,005578
"Villiers-le-Bâcle";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;490
"Ballainvilliers";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;180
"Linas";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;2538,603217
"Ballainvilliers";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;1265
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;655
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;1193,656321
"Ballainvilliers";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;30
"Les Ulis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;243,645604
"Linas";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;677,251444
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;1356,829655
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;109,530583
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;352,152672
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;2786,557139
"Gif-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;1325,768198
"Linas";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;367,019804
"Gif-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;666,452857
"Chilly-Mazarin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;8284,764195
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;222,774935
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;1927,019997
"Bures-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;462,388756
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;14696,249303
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;564,927872
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;487,559781
"Orsay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;1693,920424
"Saclay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;103,38556
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;407,923959
"Champlan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;91,222161
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;79,658606
"Verrières-le-Buisson";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;4291,579983
"Saclay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;1447,397844
"Villiers-le-Bâcle";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;50
"Saclay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;625,236484
"Chilly-Mazarin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;149,461158
"Linas";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;67,12123
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;218,358602
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;1038,770862
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;1165,826885
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;4459,979477
"Marcoussis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;355
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;12823,575334
"Villiers-le-Bâcle";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;40
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;283,783784
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;88,383244
"Orsay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;1989,689893
"Ballainvilliers";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;425
"Gometz-le-Châtel";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;356,540801
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;14,935989
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;2796,01811
"Verrières-le-Buisson";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;1695,852697
"Saulx-les-Chartreux";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;2092,835687
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;240,658632
"Les Ulis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;1583,001247
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;14,737249
"Saulx-les-Chartreux";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;201,625667
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;245,800334
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;500,734415
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;21522,263733
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;310
"Gometz-le-Châtel";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;105,602859
"Gif-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;1136,836843
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;65,900202
"Villiers-le-Bâcle";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;180
"Linas";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;310,231639
"Ballainvilliers";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;1655
"Champlan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;967,968483
"Chilly-Mazarin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;2645,421214
"Marcoussis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;30
"Épinay-sur-Orge";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;4290,296008
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;2315,961577
"Saclay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;1112,625554
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;73,686244
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;2813,980638
"Les Ulis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;1616,110657
"Les Ulis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;2896,412028
"Chilly-Mazarin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;5489,881823
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;204,125178
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;5759,881462
"Saclay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;320,002925
"Orsay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;4191,221506
"Gif-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;8333,184495
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;317,046177
"Bures-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;95,444006
"Linas";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;611,571272
"Les Ulis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;9421,165696
"Bures-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;1162,599062
"Orsay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;189,535828
"Igny";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;1005,9565
"Champlan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;217,919606
"Orsay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;1205,39278
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;1524,08372
"Champlan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;729,777286
"Igny";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;1414,626382
"Champlan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;385,160234
"Épinay-sur-Orge";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;1135,34616
"Champlan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;126,697445
"Bures-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;3737,141935
"Marcoussis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;3155
"Saulx-les-Chartreux";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;529,182777
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;1789,750007
"Gometz-le-Châtel";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;10,047939
"Ballainvilliers";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;695
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;1056,004261
"Chilly-Mazarin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;1562,140736
"Gometz-le-Châtel";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;125,62528
"Gif-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2016;2462,605041
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;4,978663
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;15,229225
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;2946,682969
"Ballainvilliers";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;180
"Verrières-le-Buisson";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;1648,947387
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;182,482081
"Champlan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;91,222161
"Villiers-le-Bâcle";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;365
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;68,773828
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2016;589,336594
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;1383,442682
"Saulx-les-Chartreux";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;801,272362
"Champlan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;253,394891
"Épinay-sur-Orge";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;508,435358
"Marcoussis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;470
"Les Ulis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2016;6281,108064
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;315
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2016;971,722231
"Gif-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;2421,789917
"Saclay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2016;14,769366
"Marcoussis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;295
"Verrières-le-Buisson";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2016;6103,122569
"Marcoussis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2016;870
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;49,786629
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;1036,843355
"Igny";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2016;623,800466
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2016;366,87472
