Date;Code région;Région;Code département;Département;Code commune;Commune;Type de données;Catégorie;Sexe;Tranche d'âge;Nombre de demandeurs d'emploi
2015-T4;11;Île-de-France;91;Essonne;91121;Buno-Bonnevaux;Brutes;ABC;Total;Total;35
2015-T4;11;Île-de-France;91;Essonne;91121;Buno-Bonnevaux;Brutes;ABC;Hommes;Total;20
2015-T4;11;Île-de-France;91;Essonne;91121;Buno-Bonnevaux;Brutes;ABC;Total;De 25 à 49 ans;20
2015-T4;11;Île-de-France;91;Essonne;91121;Buno-Bonnevaux;Brutes;ABC;Total;50 ans et plus;15
2015-T4;11;Île-de-France;91;Essonne;91122;Bures-sur-Yvette;Brutes;ABC;Total;Total;340
2015-T4;11;Île-de-France;91;Essonne;91122;Bures-sur-Yvette;Brutes;ABC;Total;De 25 à 49 ans;220
2015-T4;11;Île-de-France;91;Essonne;91129;Cerny;Brutes;ABC;Total;Total;165
2015-T4;11;Île-de-France;91;Essonne;91130;Chalo-Saint-Mars;Brutes;ABC;Femmes;Total;25
2015-T4;11;Île-de-France;91;Essonne;91131;Chalou-Moulineux;Brutes;ABC;Hommes;Total;15
2015-T4;11;Île-de-France;91;Essonne;91131;Chalou-Moulineux;Brutes;ABC;Total;Moins de 25 ans;0
2015-T4;11;Île-de-France;91;Essonne;91131;Chalou-Moulineux;Brutes;ABC;Total;De 25 à 49 ans;15
2015-T4;11;Île-de-France;91;Essonne;91132;Chamarande;Brutes;ABC;Hommes;Total;40
2015-T4;11;Île-de-France;91;Essonne;91135;Champcueil;Brutes;ABC;Hommes;Total;65
2015-T4;11;Île-de-France;91;Essonne;91135;Champcueil;Brutes;ABC;Total;De 25 à 49 ans;65
2015-T4;11;Île-de-France;91;Essonne;91136;Champlan;Brutes;ABC;Hommes;Total;105
2015-T4;11;Île-de-France;91;Essonne;91136;Champlan;Brutes;ABC;Total;Moins de 25 ans;30
2015-T4;11;Île-de-France;91;Essonne;91136;Champlan;Brutes;ABC;Total;50 ans et plus;40
2015-T4;11;Île-de-France;91;Essonne;91137;Champmotteux;Brutes;ABC;Total;Total;10
2015-T4;11;Île-de-France;91;Essonne;91137;Champmotteux;Brutes;ABC;Hommes;Total;5
2015-T4;11;Île-de-France;91;Essonne;91137;Champmotteux;Brutes;ABC;Femmes;Total;10
2015-T4;11;Île-de-France;91;Essonne;91137;Champmotteux;Brutes;ABC;Total;De 25 à 49 ans;5
2015-T4;11;Île-de-France;91;Essonne;91145;Chatignonville;Brutes;ABC;Hommes;Total;0
2015-T4;11;Île-de-France;91;Essonne;91145;Chatignonville;Brutes;ABC;Femmes;Total;5
2015-T4;11;Île-de-France;91;Essonne;91145;Chatignonville;Brutes;ABC;Total;De 25 à 49 ans;5
2015-T4;11;Île-de-France;91;Essonne;91148;Chauffour-lès-Étréchy;Brutes;ABC;Total;Total;10
2015-T4;11;Île-de-France;91;Essonne;91148;Chauffour-lès-Étréchy;Brutes;ABC;Total;50 ans et plus;0
2015-T4;11;Île-de-France;91;Essonne;91156;Cheptainville;Brutes;ABC;Total;Total;90
2015-T4;11;Île-de-France;91;Essonne;91156;Cheptainville;Brutes;ABC;Total;Moins de 25 ans;15
2015-T4;11;Île-de-France;91;Essonne;91156;Cheptainville;Brutes;ABC;Total;50 ans et plus;20
2015-T4;11;Île-de-France;91;Essonne;91159;Chevannes;Brutes;ABC;Total;Moins de 25 ans;10
2015-T4;11;Île-de-France;91;Essonne;91159;Chevannes;Brutes;ABC;Total;De 25 à 49 ans;40
2015-T4;11;Île-de-France;91;Essonne;91161;Chilly-Mazarin;Brutes;ABC;Femmes;Total;740
2015-T4;11;Île-de-France;91;Essonne;91174;Corbeil-Essonnes;Brutes;ABC;Total;50 ans et plus;965
2015-T4;11;Île-de-France;91;Essonne;91175;Corbreuse;Brutes;ABC;Hommes;Total;45
2015-T4;11;Île-de-France;91;Essonne;91175;Corbreuse;Brutes;ABC;Total;Moins de 25 ans;20
2015-T4;11;Île-de-France;91;Essonne;91175;Corbreuse;Brutes;ABC;Total;50 ans et plus;25
2015-T4;11;Île-de-France;91;Essonne;91179;Le Coudray-Montceaux;Brutes;ABC;Total;Moins de 25 ans;40
2015-T4;11;Île-de-France;91;Essonne;91180;Courances;Brutes;ABC;Total;50 ans et plus;5
2015-T4;11;Île-de-France;91;Essonne;91184;Courdimanche-sur-Essonne;Brutes;ABC;Hommes;Total;5
2015-T4;11;Île-de-France;91;Essonne;91184;Courdimanche-sur-Essonne;Brutes;ABC;Total;De 25 à 49 ans;5
2015-T4;11;Île-de-France;91;Essonne;91184;Courdimanche-sur-Essonne;Brutes;ABC;Total;50 ans et plus;5
2015-T4;11;Île-de-France;91;Essonne;91186;Courson-Monteloup;Brutes;ABC;Femmes;Total;15
2015-T4;11;Île-de-France;91;Essonne;91186;Courson-Monteloup;Brutes;ABC;Total;Moins de 25 ans;5
2015-T4;11;Île-de-France;91;Essonne;91191;Crosne;Brutes;ABC;Total;Total;495
2015-T4;11;Île-de-France;91;Essonne;91191;Crosne;Brutes;ABC;Hommes;Total;245
2015-T4;11;Île-de-France;91;Essonne;91191;Crosne;Brutes;ABC;Total;50 ans et plus;100
2015-T4;11;Île-de-France;91;Essonne;91195;Dannemois;Brutes;ABC;Femmes;Total;20
2015-T4;11;Île-de-France;91;Essonne;91198;D'Huison-Longueville;Brutes;ABC;Total;Total;70
2015-T4;11;Île-de-France;91;Essonne;91198;D'Huison-Longueville;Brutes;ABC;Total;Moins de 25 ans;10
2015-T4;11;Île-de-France;91;Essonne;91200;Dourdan;Brutes;ABC;Total;Total;745
2015-T4;11;Île-de-France;91;Essonne;91200;Dourdan;Brutes;ABC;Total;50 ans et plus;165
