"Géographie";"Niveau Géo";"Âge";"Indicateur de résidence antérieure ";"Mesure du recensement ";"Fréquence";Période;Valeur
"Villiers-le-Bâcle";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2022;2
"Ballainvilliers";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2022;8
"La Ville-du-Bois";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2022;3
"Villiers-le-Bâcle";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;13
"Villiers-le-Bâcle";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2022;29
"Marcoussis";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2022;14
"Villiers-le-Bâcle";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2022;11
"Ballainvilliers";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2022;2
"Ballainvilliers";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2022;29
"Verrières-le-Buisson";"Commune";"55 ans ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;54,354963
"Saulx-les-Chartreux";"Commune";"55 ans ou plus";"Dans une autre commune";"Population";"Annuel";2022;34,010989
"La Ville-du-Bois";"Commune";"De 1 à 14 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;36
"La Ville-du-Bois";"Commune";"De 1 à 14 ans";"Dans une autre commune";"Population";"Annuel";2022;112
"La Ville-du-Bois";"Commune";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;29
"Marcoussis";"Commune";"55 ans ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;14
"Ballainvilliers";"Commune";"De 1 à 14 ans";"Dans une autre commune";"Population";"Annuel";2022;136
"Villejust";"Commune";"De 25 à 54 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;31,785003
"Champlan";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2022;2405,425455
"Saclay";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;72,306037
"Saclay";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2022;4017,847856
"Saclay";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2022;126,667831
"Champlan";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;36,604044
"Champlan";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2022;80,84172
"Gif-sur-Yvette";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2022;23,042901
"Champlan";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2022;12,981897
"Saint-Aubin";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2022;617,375635
"Saint-Aubin";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2022;1,964827
"Saint-Aubin";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2022;6,942786
"Saclay";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2022;18,022653
"Champlan";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2022;13,893457
"Saclay";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2022;34,53897
"Saint-Aubin";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2022;17,196044
"Champlan";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2022;26,764045
"Saclay";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2022;73,674238
"Saint-Aubin";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;14,285896
"Saint-Aubin";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2022;1,015359
"Saint-Aubin";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2022;8,141132
"Vauhallan";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;7,973357
"Montlhéry";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;245,802527
"Montlhéry";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2022;686,240427
"Montlhéry";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2022;271,92128
"Montlhéry";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2022;96,69621
"Montlhéry";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2022;30,268678
"Vauhallan";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2022;34,962144
"Montlhéry";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2022;7763,98705
"Ballainvilliers";"Commune";"55 ans ou plus";"Dans une autre commune";"Population";"Annuel";2022;142
"La Ville-du-Bois";"Commune";"De 25 à 54 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;72
"Gometz-le-Châtel";"Commune";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;4,032327
"La Ville-du-Bois";"Commune";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2022;114
"Marcoussis";"Commune";"De 1 à 14 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;45
"Villejust";"Commune";"55 ans ou plus";"Dans une autre commune";"Population";"Annuel";2022;9,267766
"Villejust";"Commune";"55 ans ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;4,131405
"Ballainvilliers";"Commune";"De 1 à 14 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;30
"Marcoussis";"Commune";"55 ans ou plus";"Dans une autre commune";"Population";"Annuel";2022;95
"Marcoussis";"Commune";"De 25 à 54 ans";"Dans une autre commune";"Population";"Annuel";2022;302
"La Ville-du-Bois";"Commune";"De 25 à 54 ans";"Dans une autre commune";"Population";"Annuel";2022;314
"Marcoussis";"Commune";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2022;89
