"Fréquence";"Géographie";"Niveau Géo";"Mesure état civil";"Statut de l'observation";Période;Valeur
"Annuel";"Montlhéry";"Commune";"Nombre de naissances vivantes";"Normale";2014;109
"Annuel";"Massy";"Commune";"Nombre de naissances vivantes";"Normale";2014;1059
"Annuel";"Linas";"Commune";"Nombre de naissances vivantes";"Normale";2014;103
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de naissances vivantes";"Normale";2014;26
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2014;122
"Annuel";"Les Ulis";"Commune";"Nombre de naissances vivantes";"Normale";2014;441
"Annuel";"Wissous";"Commune";"Nombre de naissances vivantes";"Normale";2014;130
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2014;183
"Annuel";"Champlan";"Commune";"Nombre de naissances vivantes";"Normale";2014;44
"Annuel";"Orsay";"Commune";"Nombre de naissances vivantes";"Normale";2014;142
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de naissances vivantes";"Normale";2014;116
"Annuel";"Saint-Aubin";"Commune";"Nombre de naissances vivantes";"Normale";2014;5
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de naissances vivantes";"Normale";2014;60
"Annuel";"Vauhallan";"Commune";"Nombre de naissances vivantes";"Normale";2014;13
"Annuel";"Ballainvilliers";"Commune";"Nombre de naissances vivantes";"Normale";2014;61
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de naissances vivantes";"Normale";2014;14
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de naissances vivantes";"Normale";2014;87
"Annuel";"Saclay";"Commune";"Nombre de naissances vivantes";"Normale";2014;42
"Annuel";"Igny";"Commune";"Nombre de naissances vivantes";"Normale";2014;92
"Annuel";"Marcoussis";"Commune";"Nombre de naissances vivantes";"Normale";2014;78
"Annuel";"Nozay";"Commune";"Nombre de naissances vivantes";"Normale";2014;57
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de naissances vivantes";"Normale";2014;109
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de naissances vivantes";"Normale";2014;4382
"Annuel";"Montlhéry";"Commune";"Nombre de naissances vivantes";"Normale";2015;109
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2015;190
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2015;141
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de naissances vivantes";"Normale";2015;375
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2015;83
"Annuel";"Les Ulis";"Commune";"Nombre de naissances vivantes";"Normale";2015;464
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de naissances vivantes";"Normale";2015;65
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de naissances vivantes";"Normale";2015;15
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de naissances vivantes";"Normale";2015;127
"Annuel";"Igny";"Commune";"Nombre de naissances vivantes";"Normale";2015;103
"Annuel";"Villejust";"Commune";"Nombre de naissances vivantes";"Normale";2015;21
