"Géographie";"Niveau Géo";"Catégorie de logement";"Mesure du recensement ";"Indice de peuplement";"Fréquence";Période;Valeur
"Bures-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;1363,05913
"Longjumeau";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;2448,9093
"Chilly-Mazarin";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;185,92566
"Chilly-Mazarin";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;1405,68373
"La Ville-du-Bois";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;660
"Longjumeau";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;124,66327
"La Ville-du-Bois";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;520
"Nozay";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;315,15782
"Nozay";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;414,06486
"Longjumeau";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;1619,04636
"La Ville-du-Bois";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;300
"Chilly-Mazarin";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;753,88141
"Nozay";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;118,772
"La Ville-du-Bois";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;24
"Longjumeau";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;1287,26589
"Longjumeau";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;2419,35787
"Chilly-Mazarin";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;1061,12713
"Nozay";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;397,30422
"Chilly-Mazarin";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;2214,75036
"La Ville-du-Bois";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;400
"Nozay";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;12,2917
"Nozay";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;452,39012
"Chilly-Mazarin";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;2192,19113
"La Ville-du-Bois";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;704
"Longjumeau";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;955,2966
"Wissous";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;32,62075
"Gif-sur-Yvette";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;636,90253
