"Fréquence";"Géographie";"Niveau Géo";"Mesure état civil";"Statut de l'observation";Période;Valeur
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de décès";"Normale";2011;109
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de décès";"Normale";2011;154
"Annuel";"Longjumeau";"Commune";"Nombre de décès";"Normale";2011;131
"Annuel";"Igny";"Commune";"Nombre de décès";"Normale";2011;53
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de décès";"Normale";2011;5
"Annuel";"Linas";"Commune";"Nombre de décès";"Normale";2011;28
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de décès";"Normale";2011;38
"Annuel";"Nozay";"Commune";"Nombre de décès";"Normale";2011;6
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de décès";"Normale";2011;105
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de décès";"Normale";2011;56
"Annuel";"Vauhallan";"Commune";"Nombre de décès";"Normale";2011;10
"Annuel";"Orsay";"Commune";"Nombre de décès";"Normale";2011;111
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de décès";"Normale";2011;27
"Annuel";"Saclay";"Commune";"Nombre de décès";"Normale";2011;26
"Annuel";"Ballainvilliers";"Commune";"Nombre de décès";"Normale";2011;20
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de décès";"Normale";2011;1644
"Annuel";"Linas";"Commune";"Nombre de décès";"Normale";2012;28
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de décès";"Normale";2012;56
"Annuel";"Marcoussis";"Commune";"Nombre de décès";"Normale";2012;60
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de décès";"Normale";2012;30
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de décès";"Normale";2012;27
"Annuel";"Montlhéry";"Commune";"Nombre de décès";"Normale";2012;51
"Annuel";"Villejust";"Commune";"Nombre de décès";"Normale";2012;6
"Annuel";"Massy";"Commune";"Nombre de décès";"Normale";2012;270
"Annuel";"Nozay";"Commune";"Nombre de décès";"Normale";2012;14
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de décès";"Normale";2012;47
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de décès";"Normale";2012;90
"Annuel";"Les Ulis";"Commune";"Nombre de décès";"Normale";2012;83
"Annuel";"Vauhallan";"Commune";"Nombre de décès";"Normale";2012;12
"Annuel";"Saclay";"Commune";"Nombre de décès";"Normale";2012;13
"Annuel";"Orsay";"Commune";"Nombre de décès";"Normale";2012;88
"Annuel";"Champlan";"Commune";"Nombre de décès";"Normale";2012;17
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de décès";"Normale";2012;7
"Annuel";"Wissous";"Commune";"Nombre de décès";"Normale";2012;36
"Annuel";"Longjumeau";"Commune";"Nombre de décès";"Normale";2012;133
"Annuel";"Saint-Aubin";"Commune";"Nombre de décès";"Normale";2012;2
