"Géographie";"Niveau Géo";"Sexe";"Forme d'emploi";"Activité économique des emplois";"Profession et catégorie socioprofessionnelle (PCS)";"Mesure du recensement ";"Fréquence";Période;Valeur
"Villebon-sur-Yvette";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;3335,36763
"Palaiseau";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;9829,5512
"Champlan";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;1100,89533
"Les Ulis";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;8845,91968
"Orsay";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;5141,71578
"Ballainvilliers";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;865,20058
"Palaiseau";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;7476,41202
"Longjumeau";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;3176,5805
"Verrières-le-Buisson";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;1611,74853
"Ballainvilliers";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;948,82398
"Ballainvilliers";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2022;96,56011
"Longjumeau";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2022;260,18304
"Bures-sur-Yvette";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2022;93,89108
"Bures-sur-Yvette";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2022;382,80337
"La Ville-du-Bois";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2022;154,66661
"Villiers-le-Bâcle";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2022;125,90467
"Saint-Aubin";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2022;276,02938
"Ballainvilliers";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2022;330,691
"Épinay-sur-Orge";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2022;130,69593
"Gometz-le-Châtel";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2022;118,85463
"Chilly-Mazarin";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2022;361,16339
"La Ville-du-Bois";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2022;267,44729
"Gometz-le-Châtel";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2022;150,98241
"Saulx-les-Chartreux";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2022;136,55352
"Saulx-les-Chartreux";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2022;250,77502
"Villiers-le-Bâcle";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2022;18,01867
"Gometz-le-Châtel";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;293,07162
"Chilly-Mazarin";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;3706,54776
"Saclay";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;3734,69808
"Villebon-sur-Yvette";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;4963,93978
"Igny";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;1012,70398
"Champlan";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;578,71879
"La Ville-du-Bois";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;1040,76439
"Linas";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;623,81044
"Nozay";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;1092,08629
"Longjumeau";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;4057,10017
"Massy";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;19611,93525
"La Ville-du-Bois";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;807,46045
"Orsay";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;4951,41883
"Saint-Aubin";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2022;69,32177
"Orsay";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2022;337,75218
"Saulx-les-Chartreux";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;939,03815
"Saint-Aubin";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;370,06478
"Bures-sur-Yvette";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;936,13812
"Vauhallan";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;119,22437
"Saint-Aubin";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;605,74838
"Saulx-les-Chartreux";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;794,13049
"Igny";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;1008,78521
"Épinay-sur-Orge";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;704,30006
"Champlan";"Commune";"Homme";"Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2022;41,78997
"Bures-sur-Yvette";"Commune";"Femme";"Non Salariés";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2022;72,3816
"Gometz-le-Châtel";"Commune";"Femme";"Salariés";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2022;4,66028
"Villejust";"Commune";"Homme";"Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2022;33,97936
"Ballainvilliers";"Commune";"Homme";"Non Salariés";"Construction";"Total";"Nombre d’emplois";"Annuel";2022;26,2532
"La Ville-du-Bois";"Commune";"Femme";"Non Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2022;26,7898
"La Ville-du-Bois";"Commune";"Homme";"Non Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2022;6,80813
"Vauhallan";"Commune";"Homme";"Non Salariés";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2022;24,70985
"Marcoussis";"Commune";"Homme";"Non Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2022;24,97419
"Saulx-les-Chartreux";"Commune";"Femme";"Non Salariés";"Construction";"Total";"Nombre d’emplois";"Annuel";2022;7,1808
"Saint-Aubin";"Commune";"Homme";"Non Salariés";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2022;10,34786
"Verrières-le-Buisson";"Commune";"Femme";"Non Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2022;47,44466
"Vauhallan";"Commune";"Femme";"Salariés";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2022;55,6081
"Épinay-sur-Orge";"Commune";"Femme";"Non Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2022;19,4681
"Montlhéry";"Commune";"Homme";"Non Salariés";"Construction";"Total";"Nombre d’emplois";"Annuel";2022;69,17501
"Massy";"Commune";"Homme";"Non Salariés";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2022;5,53517
"Bures-sur-Yvette";"Commune";"Femme";"Non Salariés";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2022;5,03858
"Villejust";"Commune";"Homme";"Non Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2022;5,06235
"Bures-sur-Yvette";"Commune";"Femme";"Non Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2022;8,67424
"Longjumeau";"Commune";"Homme";"Non Salariés";"Construction";"Total";"Nombre d’emplois";"Annuel";2022;37,01338
"Gometz-le-Châtel";"Commune";"Femme";"Salariés";"Construction";"Total";"Nombre d’emplois";"Annuel";2022;19,46086
"Montlhéry";"Commune";"Femme";"Salariés";"Construction";"Total";"Nombre d’emplois";"Annuel";2022;36,49455
"Verrières-le-Buisson";"Commune";"Femme";"Non Salariés";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2022;132,47381
"Montlhéry";"Commune";"Homme";"Salariés";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2022;83,99683
