"Géographie";"Niveau Géo";"Sexe";"Forme d'emploi";"Activité économique des emplois";"Profession et catégorie socioprofessionnelle (PCS)";"Mesure du recensement ";"Fréquence";Période;Valeur
"Les Ulis";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;5175,69749
"Massy";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;9898,76504
"Les Ulis";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;2426,81431
"Longjumeau";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;56,26975
"Villejust";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;486,76105
"Les Ulis";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;7003,37555
"Wissous";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;808,50489
"Palaiseau";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;588,6353
"Palaiseau";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;307,37398
"Palaiseau";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;1981,03235
"Wissous";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;748,77734
"Villebon-sur-Yvette";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;2497,33174
"Nozay";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;234,62566
"Chilly-Mazarin";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;595,31584
"Orsay";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;3091,51211
"Wissous";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;1683,25981
"Verrières-le-Buisson";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;313,23034
"Marcoussis";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;256,73403
"Nozay";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;1424,69475
"Villebon-sur-Yvette";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;501,82972
"Saclay";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;275,60318
"Marcoussis";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;383,31062
"Gif-sur-Yvette";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;3844,43763
"Igny";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;190,02875
"Orsay";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;3050,00086
"Palaiseau";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;2571,99808
"Longjumeau";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;167,82482
"Nozay";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;169,89319
"Champlan";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;7,89315
"Gif-sur-Yvette";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;173,49634
"Montlhéry";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;88,94134
"Montlhéry";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;646,2719
"Saint-Aubin";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;575,72704
"Verrières-le-Buisson";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;69,16313
"Orsay";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;341,54836
"Gif-sur-Yvette";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;3082,19886
"Marcoussis";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;113,23514
"Igny";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;4,24405
"Massy";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;3742,35693
"Les Ulis";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;908,06495
"Montlhéry";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;4,04301
"Marcoussis";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;1068,7338
"Les Ulis";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;1756,77037
"Les Ulis";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;779,05121
"Saclay";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;1141,60062
"Massy";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;1809,96931
"Massy";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;3369,17622
"Champlan";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;641,06327
"Longjumeau";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;316,85125
"Verrières-le-Buisson";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;241,66925
"Marcoussis";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;183,97747
"Massy";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;1033,02735
"Linas";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;61,55506
"Gif-sur-Yvette";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;260,21734
"Longjumeau";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;280,67505
"Les Ulis";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;490,40945
"Villebon-sur-Yvette";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;1702,50707
"La Ville-du-Bois";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;754,4894
"Linas";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;156,61436
"Saulx-les-Chartreux";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;416,36695
"Longjumeau";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;1674,60182
"Bures-sur-Yvette";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;84,22736
"Vauhallan";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;55,28859
"Saulx-les-Chartreux";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;225,82186
"Longjumeau";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;2441,34765
"Villiers-le-Bâcle";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;11,53808
"Orsay";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;318,18987
"La Ville-du-Bois";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;320,82978
"Villejust";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;239,46841
"Verrières-le-Buisson";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;836,18324
"Igny";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;237,88397
"Wissous";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;115,92949
"Saclay";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;58,15478
"Gif-sur-Yvette";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;725,62774
"Igny";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;154,4408
"Bures-sur-Yvette";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;181,91815
"Saulx-les-Chartreux";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;92,90841
"La Ville-du-Bois";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;817,97068
"Villebon-sur-Yvette";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;640,8737
"Bures-sur-Yvette";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;279,16925
"Ballainvilliers";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;81,6955
"Linas";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;435,04582
"Villebon-sur-Yvette";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;328,63818
"Gif-sur-Yvette";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;9,04388
"Villebon-sur-Yvette";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;262,22753
"Saclay";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;324,63472
"Ballainvilliers";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;332,38827
"Champlan";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;217,08907
"Linas";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;248,84674
"Gif-sur-Yvette";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;1360,39687
"Marcoussis";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;502,47915
"Villejust";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;210,15285
"Gometz-le-Châtel";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;163,8365
"Ballainvilliers";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;583,24492
"Palaiseau";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;81,13972
"Wissous";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;215,09398
"Marcoussis";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;629,50721
"Verrières-le-Buisson";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;850,2956
"Épinay-sur-Orge";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;99,58792
"Villebon-sur-Yvette";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;330,82264
"Épinay-sur-Orge";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;849,01056
"Orsay";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;148,49604
"Nozay";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;582,5535
"La Ville-du-Bois";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;145,03666
"Montlhéry";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;458,46258
"La Ville-du-Bois";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;29,95249
"Massy";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;119,68161
"Wissous";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;359,16643
"Villejust";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;71,64718
"Gometz-le-Châtel";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;111,69456
"Ballainvilliers";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;424,9338
"Saint-Aubin";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;14,68437
"Épinay-sur-Orge";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;520,25617
"Chilly-Mazarin";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;1062,04431
"Chilly-Mazarin";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;780,4052
"Orsay";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;9,33069
"Verrières-le-Buisson";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;270,60491
"Linas";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;185,89251
"Igny";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;476,88053
"Bures-sur-Yvette";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;288,78924
"Linas";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;111,25802
"Vauhallan";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;11,31667
"Wissous";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;182,88505
"Épinay-sur-Orge";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;96,17898
"Champlan";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;370,29396
"Chilly-Mazarin";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;107,26808
"Chilly-Mazarin";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;181,21585
"Bures-sur-Yvette";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;486,2234
"Épinay-sur-Orge";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;528,39352
"Saint-Aubin";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;9,05235
"Villejust";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;73,46209
"Igny";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;473,6672
"Champlan";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;70,678
"Villiers-le-Bâcle";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;58,7955
"Saclay";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;10,07263
"Nozay";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;133,38878
"Chilly-Mazarin";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;6,82261
"Saulx-les-Chartreux";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;229,2146
"Longjumeau";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;7,88602
"Saulx-les-Chartreux";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;266,08123
"Villiers-le-Bâcle";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;29,87136
"Orsay";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;70,86158
"Vauhallan";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;57,31571
"Les Ulis";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;79,05912
"La Ville-du-Bois";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;115,99835
"Villiers-le-Bâcle";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;4,03149
"Vauhallan";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;64,63297
"Champlan";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;72,73036
"Saclay";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;259,81561
"Saulx-les-Chartreux";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;65,97573
"Champlan";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;137,74709
"Nozay";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;24,7002
"Montlhéry";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;75,74255
"Chilly-Mazarin";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;333,48318
"Saint-Aubin";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;42,96372
"Gometz-le-Châtel";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;139,49376
"Linas";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;50,61228
"Gometz-le-Châtel";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;58,48876
"Les Ulis";"Commune";"Femme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;3,94702
"Saint-Aubin";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;49,83912
"Igny";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;49,98207
"Nozay";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;53,59324
"Montlhéry";"Commune";"Femme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;1,09593
"Champlan";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;118,3252
"Saclay";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;78,4288
"Villiers-le-Bâcle";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;72,24825
"Bures-sur-Yvette";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;65,68819
"Gif-sur-Yvette";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;157,55205
"Villiers-le-Bâcle";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;41,43819
"Ballainvilliers";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;68,15723
"Gif-sur-Yvette";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;19,97869
"Saulx-les-Chartreux";"Commune";"Femme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;8,05745
"Villejust";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;52,6934
"Épinay-sur-Orge";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;20,47857
"Saulx-les-Chartreux";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;52,03847
"Gometz-le-Châtel";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;13,16002
"Gometz-le-Châtel";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;11,3987
"Marcoussis";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;35,9523
"Saulx-les-Chartreux";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;8,01723
"Saulx-les-Chartreux";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;29,05474
"Ballainvilliers";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;8,42657
"Villebon-sur-Yvette";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;60,94162
"Vauhallan";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;8,3294
"Les Ulis";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;4
"Massy";"Commune";"Femme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;4
"Vauhallan";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;4,9441
"Bures-sur-Yvette";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;25,14978
"Saclay";"Commune";"Femme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;0,97236
"Villiers-le-Bâcle";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;3,31399
"Chilly-Mazarin";"Commune";"Femme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;1,07394
"Gometz-le-Châtel";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;4,05276
"Verrières-le-Buisson";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;2,8456
"Bures-sur-Yvette";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;6,88247
"Gometz-le-Châtel";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;8,05058
"La Ville-du-Bois";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;11,60052
"Villiers-le-Bâcle";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;18,31588
"Linas";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;264,53003
"Villebon-sur-Yvette";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;7,90507
"Villejust";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;4,00891
"Saint-Aubin";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;2,63759
"Marcoussis";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;17,90251
"Épinay-sur-Orge";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;44,83529
"Gometz-le-Châtel";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;12,91021
"Bures-sur-Yvette";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;17,32029
"Massy";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;1,27583
