"Géographie";"Niveau Géo";"Statut d'emploi variable selon l'enquête";"Âge";"Profession et catégorie socioprofessionnelle (PCS)";"Mesure du recensement ";"Fréquence";Période;Valeur
"Gometz-le-Châtel";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;140,65932
"Linas";"Commune";"Actif";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;793,62457
"Nozay";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;616,9768
"Nozay";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;2538,4411
"Champlan";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;91,22216
"Les Ulis";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;11774,91199
"Linas";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;3638,20165
"Bures-sur-Yvette";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;139,8193
"Vauhallan";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;938,27151
"La Ville-du-Bois";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;880
"Wissous";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;945,78215
"Gometz-le-Châtel";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;10,04794
"Saulx-les-Chartreux";"Commune";"Chômeur";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;5,19235
"Bures-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;2058,05332
"Villejust";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;399,54054
"Bures-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;109,87485
"Saulx-les-Chartreux";"Commune";"Actif occupé";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;10,43398
"Villejust";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;147,04008
"Gometz-le-Châtel";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;30,14382
"Villejust";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;20,06564
"Bures-sur-Yvette";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;25,0103
"Villejust";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;5,12503
"Orsay";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;11,14428
"Saulx-les-Chartreux";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;702,5783
"Gometz-le-Châtel";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;497,3138
"Saulx-les-Chartreux";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;837,52759
"Saulx-les-Chartreux";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;46,05297
"Saulx-les-Chartreux";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;41,10328
"Bures-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;510,37767
"Saulx-les-Chartreux";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;519,2932
"Saulx-les-Chartreux";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;5,14355
"Gometz-le-Châtel";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;15,07901
"Villejust";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;281,23211
"Villejust";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;115,93035
"Gometz-le-Châtel";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;180,85343
"Bures-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;939,40896
"Gometz-le-Châtel";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;95,44595
"Bures-sur-Yvette";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;29,94446
"Villejust";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;5,19901
"Gometz-le-Châtel";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;125,5803
"Saulx-les-Chartreux";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;15,43065
"Saulx-les-Chartreux";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;215,70314
"Bures-sur-Yvette";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;95,20918
"Saulx-les-Chartreux";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;102,92992
"Saulx-les-Chartreux";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;168,97671
"Villejust";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;277,26374
"Bures-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;251,35017
"Villejust";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;15,08646
"Gometz-le-Châtel";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;5,02397
"Bures-sur-Yvette";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;74,89568
"Gometz-le-Châtel";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;15,05297
"Bures-sur-Yvette";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;90,03743
"Gometz-le-Châtel";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;291,38076
"Villejust";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;30,17799
"Verrières-le-Buisson";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;14,784
"Massy";"Commune";"Actif occupé";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;2,13899
"Ballainvilliers";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;15
"Ballainvilliers";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;505
"Igny";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;10,21354
"Ballainvilliers";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;295
"Villiers-le-Bâcle";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;35
"Marcoussis";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;95
"Villiers-le-Bâcle";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;5
"La Ville-du-Bois";"Commune";"Actif occupé";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;5
"Villiers-le-Bâcle";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;90
"Villiers-le-Bâcle";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;30
"Ballainvilliers";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;710
"La Ville-du-Bois";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;760
"Ballainvilliers";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;10
"Marcoussis";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;260
"Ballainvilliers";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;45
"La Ville-du-Bois";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;810
"Ballainvilliers";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;125
"Marcoussis";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;435
"Marcoussis";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;1075
"Villiers-le-Bâcle";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;5
"Ballainvilliers";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;40
"Marcoussis";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;780
"La Ville-du-Bois";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;235
"La Ville-du-Bois";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;1220
"Marcoussis";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;90
"La Ville-du-Bois";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;75
"Villiers-le-Bâcle";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;190
"Marcoussis";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;1195
"Marcoussis";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;100
"Ballainvilliers";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;50
"Marcoussis";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;45
"Ballainvilliers";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;630
"Villiers-le-Bâcle";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;40
"Villiers-le-Bâcle";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;5
"La Ville-du-Bois";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;20
"La Ville-du-Bois";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;120
"La Ville-du-Bois";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;10
"La Ville-du-Bois";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;610
"Villiers-le-Bâcle";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;255
"La Ville-du-Bois";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;95
"Gif-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;1,06445
"Villebon-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;434,51088
"Villebon-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;4,99438
"Saint-Aubin";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;19,91465
"Saclay";"Commune";"Actif occupé";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;4,92312
"Villebon-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;1058,80812
"Villebon-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;1648,14471
"Champlan";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;35,47528
"Champlan";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;60,81477
"Saint-Aubin";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;159,31721
"Saint-Aubin";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;29,87198
"Saint-Aubin";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;9,95733
"Champlan";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;228,0554
"Saclay";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;4,92312
"Saint-Aubin";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;19,91465
"Champlan";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;91,22216
"Villebon-sur-Yvette";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;24,97753
"Champlan";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;35,47528
"Saclay";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;19,69249
"Saclay";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;9,84624
"Villebon-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;1548,26844
"Champlan";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;5,0679
"Champlan";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;440,15368
"Villebon-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;259,71894
"Villebon-sur-Yvette";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;49,94378
"Villebon-sur-Yvette";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;59,93253
"Saint-Aubin";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;4,97866
"Saclay";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;98,46244
"Champlan";"Commune";"Actif occupé";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;29,99642
"Saclay";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;9,84624
"Saclay";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;270,77171
"Villebon-sur-Yvette";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;104,88194
"Saclay";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;516,9278
"Saint-Aubin";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;14,93599
"Champlan";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;469,94462
"Villebon-sur-Yvette";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;69,92129
"Longjumeau";"Commune";"Actif occupé";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;2,72756
"Champlan";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;232,43836
"Saclay";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;802,46887
"Saint-Aubin";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;84,63727
"Saclay";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;128,00117
"Saclay";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;24,61561
"Montlhéry";"Commune";"Actif occupé";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;4,95777
"Montlhéry";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;813,0737
"Montlhéry";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;14,8733
"Vauhallan";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;117,89799
"Vauhallan";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;284,92014
"Vauhallan";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;54,03658
"Vauhallan";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;29,4745
"Vauhallan";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;24,56208
"Montlhéry";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;822,98924
"Montlhéry";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;262,76162
"Les Ulis";"Commune";"Chômeur";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;2,86072
"Montlhéry";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;545,35431
"Montlhéry";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;1120,45523
"Montlhéry";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;69,40873
"Vauhallan";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;14,73725
"Montlhéry";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;84,28203
"Chilly-Mazarin";"Commune";"Actif occupé";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;2,72501
"Montlhéry";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;94,19756
"Vauhallan";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;14,73725
"Vauhallan";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;397,90572
"Longjumeau";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;9410,86414
"Linas";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;300,28338
"Montlhéry";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;297,46599
"Villebon-sur-Yvette";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;374,58963
"Gometz-le-Châtel";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;1190,57424
"Nozay";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;2358,1639
"Saint-Aubin";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;298,71977
"Les Ulis";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;9920,05194
"Chilly-Mazarin";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;1126,97399
"Verrières-le-Buisson";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;6253,5791
"Bures-sur-Yvette";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;350,10876
"Saclay";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;78,76995
"Marcoussis";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;3745
"Saulx-les-Chartreux";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;2454,51291
"Vauhallan";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;58,949
"Igny";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;333,38759
"Épinay-sur-Orge";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;4922,05053
"Villiers-le-Bâcle";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;610
"Wissous";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;3724,44218
"Longjumeau";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;1319,61118
"Champlan";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;141,90114
"Gometz-le-Châtel";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;80,36695
"Ballainvilliers";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;2265
"Wissous";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;301,5943
"Saclay";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;1821,55511
"Champlan";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;1491,81065
"La Ville-du-Bois";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;3640
"Saint-Aubin";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;54,76529
"Orsay";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;669,6641
"Saulx-les-Chartreux";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;236,52455
"Montlhéry";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;3569,59187
"Villejust";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;1221,00682
"Verrières-le-Buisson";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;491,77961
"La Ville-du-Bois";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;355
"Villiers-le-Bâcle";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;45
"Nozay";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;180,27721
"Épinay-sur-Orge";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;585,22703
"Villejust";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;80,56347
"Palaiseau";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;15724,68906
"Massy";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;2948,02839
"Massy";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;23523,43145
"Orsay";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;7092,95976
"Les Ulis";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;1854,86006
"Gif-sur-Yvette";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;737,08147
"Gif-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;8635,0363
"Vauhallan";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;879,32251
"Chilly-Mazarin";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;9197,7083
"Ballainvilliers";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;175
"Villebon-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;4954,44547
"Palaiseau";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;1449,02825
"Linas";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;3337,91827
"Igny";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;4466,15014
"Bures-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;3869,06497
"Marcoussis";"Commune";"Chômeur";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;390
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif occupé";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2022;43,63429
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2022;18142,9545
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2022;42024,50386
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2022;15762,66264
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2022;6491,1766
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2022;34500,03894
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2022;54,81597
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2022;30254,4395
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Actif";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2022;57018,08795
