"Géographie";"Niveau Géo";"Sexe";"Âge";"Mesure du recensement ";Période;Valeur
"Longjumeau";"Commune";"Total";"De 65 à 79 ans";"Population";2011;2179,796567
"Villiers-le-Bâcle";"Commune";"Total";"De 25 à 39 ans";"Population";2011;230
"Villebon-sur-Yvette";"Commune";"Total";"De 65 à 79 ans";"Population";2011;1059,315108
"Verrières-le-Buisson";"Commune";"Total";"80 ans ou plus";"Population";2011;978,240479
"Les Ulis";"Commune";"Total";"De 55 à 64 ans";"Population";2011;2884,730547
"Épinay-sur-Orge";"Commune";"Total";"De 65 à 79 ans";"Population";2011;1196,873444
"Saulx-les-Chartreux";"Commune";"Total";"De 15 à 24 ans";"Population";2011;628,55226
"Villejust";"Commune";"Total";"De 15 à 24 ans";"Population";2011;319,708087
"Ballainvilliers";"Commune";"Total";"Moins de 15 ans";"Population";2011;874
"Orsay";"Commune";"Total";"De 25 à 39 ans";"Population";2011;3048,200109
"Palaiseau";"Commune";"Total";"De 15 à 24 ans";"Population";2011;4560,803081
"Champlan";"Commune";"Total";"80 ans ou plus";"Population";2011;92,48909
"Marcoussis";"Commune";"Total";"De 15 à 24 ans";"Population";2011;1032
"Saint-Aubin";"Commune";"Total";"De 25 à 39 ans";"Population";2011;121,30186
"Linas";"Commune";"Total";"Moins de 15 ans";"Population";2011;1437,402725
"Igny";"Commune";"Total";"De 65 à 79 ans";"Population";2011;1272,905743
"Gometz-le-Châtel";"Commune";"Total";"De 40 à 54 ans";"Population";2011;558,227155
"Montlhéry";"Commune";"Total";"80 ans ou plus";"Population";2011;282,997243
"Massy";"Commune";"Total";"Moins de 15 ans";"Population";2011;8854,205034
"Champlan";"Commune";"Total";"De 15 à 24 ans";"Population";2011;360,116629
"Massy";"Commune";"Total";"De 25 à 39 ans";"Population";2011;10856,119048
"Nozay";"Commune";"Total";"Moins de 15 ans";"Population";2011;1217,980166
"Gometz-le-Châtel";"Commune";"Total";"De 65 à 79 ans";"Population";2011;306,996327
"Nozay";"Commune";"Total";"De 40 à 54 ans";"Population";2011;1137,092683
"Gif-sur-Yvette";"Commune";"Total";"80 ans ou plus";"Population";2011;718,482972
"Les Ulis";"Commune";"Total";"De 40 à 54 ans";"Population";2011;4831,925788
"Villebon-sur-Yvette";"Commune";"Total";"De 55 à 64 ans";"Population";2011;1253,107877
"Épinay-sur-Orge";"Commune";"Total";"De 15 à 24 ans";"Population";2011;1273,235018
"Massy";"Commune";"Total";"De 40 à 54 ans";"Population";2011;8520,769116
"Vauhallan";"Commune";"Total";"80 ans ou plus";"Population";2011;126,327586
"Saclay";"Commune";"Total";"De 25 à 39 ans";"Population";2011;649,657312
"Nozay";"Commune";"Total";"De 15 à 24 ans";"Population";2011;538,483629
"Villejust";"Commune";"Total";"Moins de 15 ans";"Population";2011;501,113681
"Linas";"Commune";"Total";"De 25 à 39 ans";"Population";2011;1437,861735
"Villejust";"Commune";"Total";"De 65 à 79 ans";"Population";2011;125,27842
"Bures-sur-Yvette";"Commune";"Total";"De 15 à 24 ans";"Population";2011;1703,443296
"Ballainvilliers";"Commune";"Total";"80 ans ou plus";"Population";2011;166
"Chilly-Mazarin";"Commune";"Total";"De 15 à 24 ans";"Population";2011;2131,500873
"Saulx-les-Chartreux";"Commune";"Total";"De 40 à 54 ans";"Population";2011;1145,110832
"Les Ulis";"Commune";"Total";"Moins de 15 ans";"Population";2011;5933,89783
"Bures-sur-Yvette";"Commune";"Total";"De 65 à 79 ans";"Population";2011;1118,818581
"Nozay";"Commune";"Total";"80 ans ou plus";"Population";2011;53,818047
"Longjumeau";"Commune";"Total";"Moins de 15 ans";"Population";2011;4432,499415
"Villebon-sur-Yvette";"Commune";"Total";"80 ans ou plus";"Population";2011;324,897542
"La Ville-du-Bois";"Commune";"Total";"De 40 à 54 ans";"Population";2011;1750
"La Ville-du-Bois";"Commune";"Total";"80 ans ou plus";"Population";2011;170
"Villiers-le-Bâcle";"Commune";"Total";"De 15 à 24 ans";"Population";2011;140
"Linas";"Commune";"Total";"De 55 à 64 ans";"Population";2011;766,462414
"Ballainvilliers";"Commune";"Total";"De 55 à 64 ans";"Population";2011;348
"Bures-sur-Yvette";"Commune";"Total";"De 25 à 39 ans";"Population";2011;1625,078318
"Marcoussis";"Commune";"Total";"Moins de 15 ans";"Population";2011;1664
"Orsay";"Commune";"Total";"80 ans ou plus";"Population";2011;816,594695
"Bures-sur-Yvette";"Commune";"Total";"Moins de 15 ans";"Population";2011;1731,314338
"Nozay";"Commune";"Total";"De 55 à 64 ans";"Population";2011;483,690083
"Saint-Aubin";"Commune";"Total";"80 ans ou plus";"Population";2011;14,914163
"Orsay";"Commune";"Total";"De 15 à 24 ans";"Population";2011;2807,923979
"Linas";"Commune";"Total";"80 ans ou plus";"Population";2011;138,959772
"Gif-sur-Yvette";"Commune";"Total";"De 40 à 54 ans";"Population";2011;4484,290077
"Palaiseau";"Commune";"Total";"Moins de 15 ans";"Population";2011;5574,551185
"Nozay";"Commune";"Total";"De 65 à 79 ans";"Population";2011;285,19095
"Villebon-sur-Yvette";"Commune";"Total";"De 25 à 39 ans";"Population";2011;2038,662483
"Orsay";"Commune";"Total";"De 40 à 54 ans";"Population";2011;2993,020873
"Gometz-le-Châtel";"Commune";"Total";"Moins de 15 ans";"Population";2011;558,253883
"Wissous";"Commune";"Total";"De 25 à 39 ans";"Population";2011;1068,936651
"Épinay-sur-Orge";"Commune";"Total";"De 55 à 64 ans";"Population";2011;1310,205763
"Marcoussis";"Commune";"Total";"De 40 à 54 ans";"Population";2011;1860
"Gif-sur-Yvette";"Commune";"Total";"De 65 à 79 ans";"Population";2011;2495,677597
"Saulx-les-Chartreux";"Commune";"Total";"De 65 à 79 ans";"Population";2011;459,38373
"Gif-sur-Yvette";"Commune";"Total";"Moins de 15 ans";"Population";2011;3926,378616
"Épinay-sur-Orge";"Commune";"Total";"De 25 à 39 ans";"Population";2011;1917,206971
"Saulx-les-Chartreux";"Commune";"Total";"Moins de 15 ans";"Population";2011;1039,911386
"La Ville-du-Bois";"Commune";"Total";"De 65 à 79 ans";"Population";2011;520
"Saclay";"Commune";"Total";"De 40 à 54 ans";"Population";2011;778,452348
"Épinay-sur-Orge";"Commune";"Total";"Moins de 15 ans";"Population";2011;1751,635174
"Palaiseau";"Commune";"Total";"De 40 à 54 ans";"Population";2011;6139,27367
"Champlan";"Commune";"Total";"De 25 à 39 ans";"Population";2011;504,243416
"Chilly-Mazarin";"Commune";"Total";"80 ans ou plus";"Population";2011;814,993429
"Ballainvilliers";"Commune";"Total";"De 25 à 39 ans";"Population";2011;674
"Saclay";"Commune";"Total";"De 55 à 64 ans";"Population";2011;393,014263
"Villejust";"Commune";"Total";"De 40 à 54 ans";"Population";2011;545,211685
"La Ville-du-Bois";"Commune";"Total";"De 25 à 39 ans";"Population";2011;1367
"Orsay";"Commune";"Total";"Moins de 15 ans";"Population";2011;2503,754039
"Chilly-Mazarin";"Commune";"Total";"De 55 à 64 ans";"Population";2011;1841,879985
"Verrières-le-Buisson";"Commune";"Total";"De 40 à 54 ans";"Population";2011;3464,635215
"Vauhallan";"Commune";"Total";"De 25 à 39 ans";"Population";2011;235,613389
"Verrières-le-Buisson";"Commune";"Total";"De 15 à 24 ans";"Population";2011;1947,287299
"Saclay";"Commune";"Total";"80 ans ou plus";"Population";2011;95,904213
"Wissous";"Commune";"Total";"De 15 à 24 ans";"Population";2011;787,478142
"Igny";"Commune";"Total";"De 55 à 64 ans";"Population";2011;1182,895741
"La Ville-du-Bois";"Commune";"Total";"Moins de 15 ans";"Population";2011;1582
"Ballainvilliers";"Commune";"Total";"De 40 à 54 ans";"Population";2011;904
"Montlhéry";"Commune";"Total";"De 55 à 64 ans";"Population";2011;792,898887
"Champlan";"Commune";"Total";"De 40 à 54 ans";"Population";2011;570,400301
"Igny";"Commune";"Total";"80 ans ou plus";"Population";2011;436,574559
"Longjumeau";"Commune";"Total";"De 15 à 24 ans";"Population";2011;2721,334529
"Marcoussis";"Commune";"Total";"De 65 à 79 ans";"Population";2011;743
"Villebon-sur-Yvette";"Commune";"Total";"De 15 à 24 ans";"Population";2011;1207,922938
"Saclay";"Commune";"Total";"De 15 à 24 ans";"Population";2011;357,027415
"Champlan";"Commune";"Total";"De 65 à 79 ans";"Population";2011;247,268623
"La Ville-du-Bois";"Commune";"Total";"De 55 à 64 ans";"Population";2011;806
"Épinay-sur-Orge";"Commune";"Total";"De 40 à 54 ans";"Population";2011;2314,418653
"Chilly-Mazarin";"Commune";"Total";"De 40 à 54 ans";"Population";2011;3647,037863
"Villebon-sur-Yvette";"Commune";"Total";"Moins de 15 ans";"Population";2011;1762,020545
"Marcoussis";"Commune";"Total";"80 ans ou plus";"Population";2011;348
"Villejust";"Commune";"Total";"De 55 à 64 ans";"Population";2011;229,510066
"Marcoussis";"Commune";"Total";"De 25 à 39 ans";"Population";2011;1414
"Villiers-le-Bâcle";"Commune";"Total";"De 55 à 64 ans";"Population";2011;188
